Date,Close
2021-07-12,"−0,2985"
2021-07-09,"−0,3001"
2021-07-08,"−0,3089"
2021-07-07,"−0,305"
2021-07-06,"−0,287"
2021-07-05,"−0,2568"
2021-07-02,"−0,2757"
2021-07-01,"−0,2538"
2021-06-30,"−0,2534"
2021-06-29,"−0,2312"
2021-06-28,"−0,2425"
2021-06-25,"−0,231"
2021-06-24,"−0,2458"
2021-06-23,"−0,2462"
2021-06-22,"−0,2407"
2021-06-21,"−0,2366"
2021-06-18,"−0,2555"
2021-06-17,"−0,267"
2021-06-16,"−0,2829"
2021-06-15,"−0,2754"
2021-06-14,"−0,284"
2021-06-11,"−0,3015"
2021-06-10,"−0,2925"
2021-06-09,"−0,2866"
2021-06-08,"−0,2729"
2021-06-07,"−0,2603"
2021-06-04,"−0,2726"
2021-06-03,"−0,2594"
2021-06-02,"−0,2699"
2021-06-01,"−0,2598"
2021-05-31,"−0,2579"
2021-05-28,"−0,2553"
2021-05-27,"−0,2455"
2021-05-26,"−0,2714"
2021-05-25,"−0,2511"
2021-05-24,"−0,235"
2021-05-21,"−0,2289"
2021-05-20,"−0,2054"
2021-05-19,"−0,2082"
2021-05-18,"−0,2067"
2021-05-17,"−0,2221"
2021-05-14,"−0,226"
2021-05-13,"−0,2237"
2021-05-12,"−0,2193"
2021-05-11,"−0,2394"
2021-05-10,"−0,2639"
2021-05-07,"−0,2619"
2021-05-06,"−0,2789"
2021-05-05,"−0,2817"
2021-05-04,"−0,2802"
2021-05-03,"−0,2602"
2021-04-30,"−0,2595"
2021-04-29,"−0,2452"
2021-04-28,"−0,2715"
2021-04-27,"−0,2796"
2021-04-26,"−0,2842"
2021-04-23,"−0,2899"
2021-04-22,"−0,2959"
2021-04-21,"−0,3015"
2021-04-20,"−0,2984"
2021-04-19,"−0,279"
2021-04-16,"−0,3046"
2021-04-15,"−0,3244"
2021-04-14,"−0,2927"
2021-04-13,"−0,3208"
2021-04-12,"−0,3211"
2021-04-09,"−0,3237"
2021-04-08,"−0,3507"
2021-04-07,"−0,3378"
2021-04-06,"−0,3327"
2021-04-05,
2021-04-02,"−0,3323"
2021-04-01,"−0,3325"
2021-03-31,"−0,3101"
2021-03-30,"−0,3176"
2021-03-29,"−0,3356"
2021-03-26,"−0,3477"
2021-03-25,"−0,3635"
2021-03-24,"−0,3539"
2021-03-23,"−0,3422"
2021-03-22,"−0,33"
2021-03-19,"−0,3228"
2021-03-18,"−0,3066"
2021-03-17,"−0,3212"
2021-03-16,"−0,3416"
2021-03-15,"−0,3353"
2021-03-12,"−0,3159"
2021-03-11,"−0,3264"
2021-03-10,"−0,3165"
2021-03-09,"−0,309"
2021-03-08,"−0,3011"
2021-03-05,"−0,3248"
2021-03-04,"−0,3069"
2021-03-03,"−0,3197"
2021-03-02,"−0,353"
2021-03-01,"−0,342"
2021-02-26,"−0,2928"
2021-02-25,"−0,2526"
2021-02-24,"−0,3249"
2021-02-23,"−0,3318"
2021-02-22,"−0,3382"
2021-02-19,"−0,3184"
2021-02-18,"−0,3435"
2021-02-17,"−0,3636"
2021-02-16,"−0,3479"
2021-02-15,"−0,3685"
2021-02-12,"−0,386"
2021-02-11,"−0,3985"
2021-02-10,"−0,3978"
2021-02-09,"−0,3978"
2021-02-08,"−0,3944"
2021-02-05,"−0,3914"
2021-02-04,"−0,4041"
2021-02-03,"−0,4078"
2021-02-02,"−0,4245"
2021-02-01,"−0,4359"
2021-01-29,"−0,439"
2021-01-28,"−0,4405"
2021-01-27,"−0,448"
2021-01-26,"−0,4333"
2021-01-25,"−0,447"
2021-01-22,"−0,4287"
2021-01-21,"−0,4198"
2021-01-20,"−0,4405"
2021-01-19,"−0,4378"
2021-01-18,"−0,4458"
2021-01-15,"−0,4528"
2021-01-14,"−0,4563"
2021-01-13,"−0,4412"
2021-01-12,"−0,4123"
2021-01-11,"−0,4345"
2021-01-08,"−0,4486"
2021-01-07,"−0,4512"
2021-01-06,"−0,4587"
2021-01-05,"−0,4712"
2021-01-04,"−0,4814"
2020-12-31,"−0,4531"
2020-12-30,"−0,4528"
2020-12-29,"−0,4544"
2020-12-28,"−0,4456"
2020-12-25,"−0,4296"
2020-12-24,"−0,4296"
2020-12-23,"−0,4348"
2020-12-22,"−0,4563"
2020-12-21,"−0,4571"
2020-12-18,"−0,4576"
2020-12-17,"−0,4603"
2020-12-16,"−0,4636"
2020-12-15,"−0,4877"
2020-12-14,"−0,4922"
2020-12-11,"−0,4939"
2020-12-10,"−0,4751"
2020-12-09,"−0,4838"
2020-12-08,"−0,4812"
2020-12-07,"−0,47"
2020-12-04,"−0,4518"
2020-12-03,"−0,4532"
2020-12-02,"−0,441"
2020-12-01,"−0,4392"
2020-11-30,"−0,455"
2020-11-27,"−0,4584"
2020-11-26,"−0,4568"
2020-11-25,"−0,4496"
2020-11-24,"−0,4447"
2020-11-23,"−0,4544"
2020-11-20,"−0,4648"
2020-11-19,"−0,456"
2020-11-18,"−0,4421"
2020-11-17,"−0,4497"
2020-11-16,"−0,4398"
2020-11-13,"−0,4458"
2020-11-12,"−0,4411"
2020-11-11,"−0,4258"
2020-11-10,"−0,4135"
2020-11-09,"−0,4289"
2020-11-06,"−0,4793"
2020-11-05,"−0,4827"
2020-11-04,"−0,4816"
2020-11-03,"−0,4717"
2020-11-02,"−0,4839"
2020-10-30,"−0,4829"
2020-10-29,"−0,4766"
2020-10-28,"−0,473"
2020-10-27,"−0,4737"
2020-10-26,"−0,4528"
2020-10-23,"−0,4536"
2020-10-22,"−0,452"
2020-10-21,"−0,4587"
2020-10-20,"−0,4601"
2020-10-19,"−0,4873"
2020-10-16,"−0,4819"
2020-10-15,"−0,4736"
2020-10-14,"−0,4653"
2020-10-13,"−0,4539"
2020-10-12,"−0,444"
2020-10-09,"−0,4404"
2020-10-08,"−0,4342"
2020-10-07,"−0,4253"
2020-10-06,"−0,4233"
2020-10-05,"−0,4232"
2020-10-02,"−0,4335"
2020-10-01,"−0,4314"
2020-09-30,"−0,4231"
2020-09-29,"−0,4348"
2020-09-28,"−0,4247"
2020-09-25,"−0,4285"
2020-09-24,"−0,419"
2020-09-23,"−0,4273"
2020-09-22,"−0,4317"
2020-09-21,"−0,4343"
2020-09-18,"−0,4194"
2020-09-17,"−0,422"
2020-09-16,"−0,4081"
2020-09-15,"−0,409"
2020-09-14,"−0,4125"
2020-09-11,"−0,4146"
2020-09-10,"−0,385"
2020-09-09,"−0,3993"
2020-09-08,"−0,4195"
2020-09-07,"−0,4096"
2020-09-04,"−0,3971"
2020-09-03,"−0,4086"
2020-09-02,"−0,4036"
2020-09-01,"−0,377"
2020-08-31,"−0,3559"
2020-08-28,"−0,3572"
2020-08-27,"−0,3478"
2020-08-26,"−0,3603"
2020-08-25,"−0,3658"
2020-08-24,"−0,3945"
2020-08-21,"−0,4006"
2020-08-20,"−0,3919"
2020-08-19,"−0,381"
2020-08-18,"−0,3712"
2020-08-17,"−0,3663"
2020-08-14,"−0,3427"
2020-08-13,"−0,3377"
2020-08-12,"−0,3617"
2020-08-11,"−0,3734"
2020-08-10,"−0,3982"
2020-08-07,"−0,3755"
2020-08-06,"−0,3923"
2020-08-05,"−0,379"
2020-08-04,"−0,413"
2020-08-03,"−0,3927"
2020-07-31,"−0,3942"
2020-07-30,"−0,4035"
2020-07-29,"−0,3753"
2020-07-28,"−0,3873"
2020-07-27,"−0,3731"
2020-07-24,"−0,3576"
2020-07-23,"−0,3782"
2020-07-22,"−0,3845"
2020-07-21,"−0,3697"
2020-07-20,"−0,3621"
2020-07-17,"−0,3484"
2020-07-16,"−0,3628"
2020-07-15,"−0,3463"
2020-07-14,"−0,3415"
2020-07-13,"−0,3249"
2020-07-10,"−0,3569"
2020-07-09,"−0,3506"
2020-07-08,"−0,3361"
2020-07-07,"−0,3346"
2020-07-06,"−0,345"
2020-07-03,"−0,3438"
2020-07-02,"−0,3471"
2020-07-01,"−0,3267"
2020-06-30,"−0,3502"
2020-06-29,"−0,348"
2020-06-26,"−0,3562"
2020-06-25,"−0,3428"
2020-06-24,"−0,339"
2020-06-23,"−0,326"
2020-06-22,"−0,3436"
2020-06-19,"−0,3201"
2020-06-18,"−0,3159"
2020-06-17,"−0,3037"
2020-06-16,"−0,2946"
2020-06-15,"−0,2956"
2020-06-12,"−0,2969"
2020-06-11,"−0,2845"
2020-06-10,"−0,2408"
2020-06-09,"−0,2438"
2020-06-08,"−0,2606"
2020-06-05,"−0,2322"
2020-06-04,"−0,2389"
2020-06-03,"−0,2454"
2020-06-02,"−0,2683"
2020-06-01,"−0,2719"
2020-05-29,"−0,285"
2020-05-28,"−0,2654"
2020-05-27,"−0,255"
2020-05-26,"−0,2546"
2020-05-25,"−0,2813"
2020-05-22,"−0,2821"
2020-05-21,"−0,2836"
2020-05-20,"−0,2702"
2020-05-19,"−0,2669"
2020-05-18,"−0,2675"
2020-05-15,"−0,291"
2020-05-14,"−0,3062"
2020-05-13,"−0,3007"
2020-05-12,"−0,296"
2020-05-11,"−0,2858"
2020-05-08,"−0,2953"
2020-05-07,"−0,3021"
2020-05-06,"−0,2926"
2020-05-05,"−0,3251"
2020-05-04,"−0,3149"
2020-05-01,
2020-04-30,"−0,3313"
2020-04-29,"−0,2654"
2020-04-28,"−0,2486"
2020-04-27,"−0,2213"
2020-04-24,"−0,2287"
2020-04-23,"−0,1778"
2020-04-22,"−0,1543"
2020-04-21,"−0,2044"
2020-04-20,"−0,2142"
2020-04-17,"−0,2456"
2020-04-16,"−0,2525"
2020-04-15,"−0,2366"
2020-04-14,"−0,2114"
2020-04-13,
2020-04-09,"−0,1979"
2020-04-08,"−0,1529"
2020-04-07,"−0,1558"
2020-04-06,"−0,2186"
2020-04-03,"−0,2286"
2020-04-02,"−0,2236"
2020-04-01,"−0,2268"
2020-03-31,"−0,2216"
2020-03-30,"−0,2296"
2020-03-27,"−0,2209"
2020-03-26,"−0,1668"
2020-03-25,"−0,1008"
2020-03-24,"−0,13"
2020-03-23,"−0,1545"
2020-03-20,"−0,1425"
2020-03-19,"−0,0765"
2020-03-18,"−0,1094"
2020-03-17,"−0,2349"
2020-03-16,"−0,2327"
2020-03-13,"−0,2617"
2020-03-12,"−0,3593"
2020-03-11,"−0,4117"
2020-03-10,"−0,3926"
2020-03-09,"−0,4426"
2020-03-06,"−0,4148"
2020-03-05,"−0,4223"
2020-03-04,"−0,4231"
2020-03-03,"−0,4087"
2020-03-02,"−0,4024"
2020-02-28,"−0,3682"
2020-02-27,"−0,3454"
2020-02-26,"−0,3377"
2020-02-25,"−0,3446"
2020-02-24,"−0,333"
2020-02-21,"−0,2997"
